Time,Winner,Nickname,SecondPlace,SecondNickname
00:00:00:000,Player7,Rigby,None,None
00:00:00:000,Player7,Rigby,Player8,Player8
00:00:03:033,Player9,Finn,None,None
00:00:03:033,Player9,Finn,Player5,Player5
00:00:03:067,Player6,Mordecai,None,None
00:00:03:067,Player6,Mordecai,Player9,Finn
00:00:03:100,Player9,Finn,None,None
00:00:03:100,Player9,Finn,Player5,Player5
00:00:03:267,Player6,Mordecai,None,None
00:00:03:267,Player6,Mordecai,Player9,Finn
00:00:03:500,Player3,dulceprincesa,None,None
00:00:03:500,Player3,dulceprincesa,Player6,Mordecai
00:00:06:033,Player6,Mordecai,None,None
00:00:06:033,Player6,Mordecai,Player5,Player5
00:00:06:100,Player4,Gumball,None,None
00:00:06:100,Player4,Gumball,Player6,Mordecai
00:00:06:233,Player6,Mordecai,None,None
00:00:06:233,Player6,Mordecai,Player5,Player5
00:00:06:700,Player4,Gumball,None,None
00:00:06:700,Player4,Gumball,Player8,Player8
00:00:09:033,Player7,Rigby,None,None
00:00:09:033,Player7,Rigby,Player6,Mordecai
00:00:09:067,Player9,Finn,None,None
00:00:09:067,Player9,Finn,Player2,Player2
00:00:12:067,Player1,Naruto,None,None
00:00:12:067,Player1,Naruto,Player9,Finn
00:00:13:767,Player9,Finn,None,None
00:00:13:767,Player9,Finn,Player1,Naruto
00:00:14:400,Player5,jake,None,None
00:00:14:400,Player5,jake,Player1,Naruto
00:00:14:833,Player9,Finn,None,None
00:00:14:833,Player9,Finn,Player7,Rigby
00:00:14:967,Player5,jake,None,None
00:00:14:967,Player5,jake,Player1,Naruto
00:00:16:267,Player9,Finn,None,None
00:00:16:267,Player9,Finn,Player5,jake
00:00:16:300,Player5,jake,None,None
00:00:16:300,Player5,jake,Player1,Naruto
00:00:17:833,Player9,Finn,None,None
00:00:17:833,Player9,Finn,Player5,jake
00:00:19:633,Player5,jake,None,None
00:00:19:633,Player5,jake,Player1,Naruto
00:00:19:900,Player9,Finn,None,None
00:00:19:900,Player9,Finn,Player7,Rigby
00:00:20:200,Player7,Rigby,None,None
00:00:20:200,Player7,Rigby,Player1,Naruto
00:00:21:033,Player1,Naruto,None,None
00:00:21:033,Player1,Naruto,Player7,Rigby
00:00:24:033,Player9,Finn,None,None
00:00:24:033,Player9,Finn,Player1,Naruto
00:00:24:233,Player6,Mordecai,None,None
00:00:24:233,Player6,Mordecai,Player2,Player2
00:00:24:400,Player9,Finn,None,None
00:00:24:400,Player9,Finn,Player1,Naruto
00:00:24:767,Player6,Mordecai,None,None
00:00:24:767,Player6,Mordecai,Player2,Player2
00:00:27:033,Player2,drdoof,None,None
00:00:27:033,Player2,drdoof,Player9,Finn
00:00:27:767,Player7,Rigby,None,None
00:00:27:767,Player7,Rigby,Player4,Gumball
00:00:27:967,Player4,Gumball,None,None
00:00:27:967,Player4,Gumball,Player7,Rigby
00:00:30:033,Player2,drdoof,None,None
00:00:30:033,Player2,drdoof,Player4,Gumball
00:00:31:300,Player8,Gokú,None,None
00:00:31:300,Player8,Gokú,Player2,drdoof
00:00:33:000,Player6,Mordecai,None,None
00:00:33:000,Player6,Mordecai,Player8,Gokú
00:00:33:033,Player8,Gokú,None,None
00:00:33:033,Player8,Gokú,Player2,drdoof
00:00:33:133,Player6,Mordecai,None,None
00:00:33:133,Player6,Mordecai,Player1,Naruto
00:00:33:167,Player7,Rigby,None,None
00:00:33:167,Player7,Rigby,Player9,Finn
00:00:35:967,Player4,Gumball,None,None
00:00:35:967,Player4,Gumball,Player6,Mordecai
00:00:37:767,Player7,Rigby,None,None
00:00:37:767,Player7,Rigby,Player4,Gumball
00:00:37:833,Player4,Gumball,None,None
00:00:37:833,Player4,Gumball,Player7,Rigby
00:00:46:533,Player1,Naruto,None,None
00:00:46:533,Player1,Naruto,Player7,Rigby
00:00:49:900,Player7,Rigby,None,None
00:00:49:900,Player7,Rigby,Player1,Naruto
00:00:50:600,Player2,drdoof,None,None
00:00:50:600,Player2,drdoof,Player4,Gumball
00:00:51:033,Player7,Rigby,None,None
00:00:51:033,Player7,Rigby,Player4,Gumball
