Time,Winner,Nickname
00:00:00:000,Player7,CR7
00:00:00:000,Player7,CR7
00:00:00:900,Player8,Messi
00:00:00:900,Player8,Messi
00:00:04:500,Player3,CR7
00:00:04:500,Player3,CR7
00:00:04:533,Player8,Messi
00:00:04:533,Player8,Messi
00:00:04:600,Player6,Messi
00:00:04:600,Player6,Messi
00:00:04:633,Player8,Messi
00:00:04:633,Player8,Messi
00:00:04:700,Player3,CR7
00:00:04:700,Player3,CR7
00:00:04:733,Player9,CR7
00:00:04:733,Player9,CR7
00:00:04:800,Player6,Messi
00:00:04:800,Player6,Messi
00:00:04:867,Player3,CR7
00:00:04:867,Player3,CR7
00:00:04:900,Player9,CR7
00:00:04:900,Player9,CR7
00:00:04:933,Player6,Messi
00:00:04:933,Player6,Messi
00:00:05:000,Player3,CR7
00:00:05:000,Player3,CR7
00:00:05:033,Player9,CR7
00:00:05:033,Player9,CR7
00:00:05:233,Player6,Messi
00:00:05:233,Player6,Messi
00:00:05:267,Player9,CR7
00:00:05:267,Player9,CR7
00:00:05:567,Player6,Messi
00:00:05:567,Player6,Messi
00:00:05:600,Player9,CR7
00:00:05:600,Player9,CR7
00:00:05:667,Player4,CR7
00:00:05:667,Player4,CR7
00:00:05:700,Player9,CR7
00:00:05:700,Player9,CR7
00:00:05:967,Player6,Messi
00:00:05:967,Player6,Messi
00:00:06:200,Player3,CR7
00:00:06:200,Player3,CR7
00:00:14:467,Player6,Messi
00:00:14:467,Player6,Messi
00:00:14:500,Player3,CR7
00:00:14:500,Player3,CR7
00:00:15:433,Player6,Messi
00:00:15:433,Player6,Messi
00:00:15:533,Player3,CR7
00:00:15:533,Player3,CR7
00:00:19:233,Player7,CR7
00:00:19:233,Player7,CR7
00:00:21:033,Player3,CR7
00:00:21:033,Player3,CR7
00:00:21:100,Player6,Messi
00:00:21:100,Player6,Messi
00:00:21:200,Player3,CR7
00:00:21:200,Player3,CR7
00:00:21:467,Player6,Messi
00:00:21:467,Player6,Messi
00:00:21:733,Player1,Messi
00:00:21:733,Player1,Messi
00:00:26:067,Player3,CR7
00:00:26:067,Player3,CR7
00:00:27:700,Player1,Messi
00:00:27:700,Player1,Messi
00:00:28:267,Player3,CR7
00:00:28:267,Player3,CR7
00:00:28:900,Player1,Messi
00:00:28:900,Player1,Messi
00:00:34:100,Player2,Messi
00:00:34:100,Player2,Messi
00:00:34:267,Player1,Messi
00:00:34:267,Player1,Messi
00:00:35:467,Player2,Messi
00:00:35:467,Player2,Messi
00:00:35:500,Player1,Messi
00:00:35:500,Player1,Messi
00:00:36:500,Player2,Messi
00:00:36:500,Player2,Messi
00:00:36:567,Player1,Messi
00:00:36:567,Player1,Messi
00:00:41:300,Player2,Messi
00:00:41:300,Player2,Messi
