nickname,URL
bart,https://www.jammable.com/bart---canicas-brawl-oqqen
calamardo,https://www.jammable.com/calamardo---canicas-brawl-ElKej
shakira,https://www.jammable.com/shak---canicas-brawl-9DtSL
lisa,https://www.jammable.com/ls---canicas-brawl-N0v39
homero,https://www.jammable.com/homero---canicas-brawl-pEknP
naruto,https://www.jammable.com/naruto---canicas-brawl-HsTp2
vegeta,https://www.jammable.com/custom-vegeta-espaol-latino
patricio,https://www.jammable.com/patricio---canicas-brawl-DYBHh
bob,https://www.jammable.com/bob---canicas-brawl-nMM8O
gokú,https://www.jammable.com/custom-goku-mejorado-latino
finn,https://www.jammable.com/finn---canicas-brawl-rnA4I
natanael,https://www.jammable.com/natanael---canicas-brawl-l7l75
drdoof,https://www.jammable.com/dr-doof---canicas-brawl-R6lBN
rigby,https://www.jammable.com/rigby---canicas-brawl-fnK3I
mordecai,https://www.jammable.com/mordecai---canicas-brawl-8Yfw9
jake,https://www.jammable.com/jake---canicas-brawl-GjmVJ
marceline,https://www.jammable.com/marceline---canicas-brawl-1kPI7
dulceprincesa,https://www.jammable.com/dp---canicas-brawl-4bH6G
shrek,https://www.jammable.com/shrek---canicas-brawl-IIw4U
gru,https://www.jammable.com/gru---canicas-brawl-DSL9H
steven,https://www.jammable.com/steven---canicas-brawl-sn0EM
dipper,https://www.jammable.com/dipper---canicas-brawl-soypS
darwin,https://www.jammable.com/darwin---canicas-brawl-teqMt
gumball,https://www.jammable.com/gumball---canicas-brawl-OcXJS
rayo,https://www.jammable.com/rayo-mcqueen---canicas-brawl-bPIpQ
reyhelado,https://www.jammable.com/rey-helado---canicas-brawl-SI1yP
peter,https://www.jammable.com/peter---canicas-brawl-p8Xp4
phineas,https://www.jammable.com/phineas---canicas-brawl-DeSg7
cartman,https://www.jammable.com/cartman---canicas-brawl-BdJwB
minion,https://www.jammable.com/minion---canicas-brawl-ct0zp
chavo,https://www.jammable.com/chavo---canicas-brawl-UzAKe
quico,https://www.jammable.com/quico---canicas-brawl-MikeU
auronplay,https://www.jammable.com/auronplay---canicas-brawl-kfWpQ
ibai,https://www.jammable.com/ibai---canicas-brawl-i4xGs
rubius,https://www.jammable.com/rubius---canicas-brawl-RmzPy
vegetta777,https://www.jammable.com/vegeta777---canicas-brawl-vvtxM
willyrex,https://www.jammable.com/willyrex---canicas-brawl-xjtig
taylor,https://www.jammable.com/custom-tay-swift
bmo,https://www.jammable.com/bmo---canicas-brawl-c9pJM
bulma,https://www.jammable.com/custom-bulma-espaol-latino
karolg,https://www.jammable.com/custom-vfcdszgfd
marge,https://www.jammable.com/marge---canicas-brawl-caIKE
badbunny,https://www.jammable.com/custom-bad-bunny-v2
messi,https://www.jammable.com/messi
cr7,https://www.jammable.com/ronaldo
cepillo,https://www.jammable.com/cepillo---canicas-brawl-soBmB
peppa,https://www.jammable.com/custom-peppa-latino
ben10,https://www.jammable.com/ben-10---canicas-brawl-MEfn6
rick,https://www.jammable.com/custom-rick-sanchez-latino
musculoso,https://www.jammable.com/musculoso---canicas-brawl-5x8oF
doncangrejo,https://www.jammable.com/doncangrejo---musculoso-a8fKs
