nickname,URL
bart,https://huggingface.co/AITony70100/BartSimpsonESLA/resolve/main/BartSimpsonESLA_v2_600e.zip
bob,https://huggingface.co/TexX/RVC_Models/resolve/main/BobEsponjaS2_V1.zip
calamardo,https://huggingface.co/Kelpek/CalamardoLatino/resolve/main/CalamardoLatino.zip
drdoof,https://www.dropbox.com/scl/fi/dfay1ycg3pmg25l71p0at/drdoof.zip?rlkey=etefn1tgdll1jw1buhytfnoeq&st=0pide463&dl=1
finn,https://www.dropbox.com/scl/fi/suszim50mfgpr0dxy2jjw/finn.zip?rlkey=2qrziglzw1cmi6l6n3ulrsgsq&st=tlbkq4ja&dl=1
gokú,https://huggingface.co/lolo2/Goku/resolve/main/gokus.zip
homero,https://huggingface.co/Elinvasor12/Otros_Personajes/resolve/main/Homero.zip
juniorH,https://www.dropbox.com/scl/fi/ia59cobjr7oh091dw1avh/juniorh.zip?rlkey=tuamah7vywmxx4amfwbxyboyg&st=6i6h5ovr&dl=1
lisa,https://huggingface.co/AITony70100/LisaSimpsonESLA/resolve/main/LisaSimpsonESLA_v2_600e.zip
naruto,https://huggingface.co/Darkame/Naruto-Latin-American/resolve/main/Narutomodel.zip
natanael,https://huggingface.co/ArisA1/NatanaelCano-RVC-Model/resolve/main/NatanaelCano.zip?download=true
patricio,https://huggingface.co/AmanBOT/Patricio/resolve/main/Patricio.zip?download=true
peso,https://huggingface.co/ElProgod/MisModels/resolve/main/PesoPlumaV2.zip
shakira,https://huggingface.co/RVC123/RVC/resolve/main/shakira_crepe.zip
vegeta,https://huggingface.co/Darkame/Vegeta-Rene-Garcia/resolve/main/vegetamodel.zip
mordecai,https://www.dropbox.com/scl/fi/9kv6ba83tuqfjue08y7wp/mordecai.zip?rlkey=do7w9fxki72ldg39oi731ydil&st=vpm9nga7&dl=1
rigby,https://www.dropbox.com/scl/fi/rt0ksa2xjv1sgq4rsth85/Rigby.zip?rlkey=hcts8roqzt9ii5dw4e6fwizqw&st=2ki56tor&dl=1
